rank,opportunityScore,buildabilityScore,name,phone,website,platform,sourceConfidence,rating,reviewCount,address,weaknessReasons
1,96,38,Gaspar Landscaping & Tree Service,,http://wwwgasparlandscaping.com/,Unknown,34,4.3,18,"4366 Angelo St, Riverside, CA 92507",Website failed to load (fetch failed) | Website listed as non-HTTPS
2,90,38,PAVERMEX STONES TILES & LANDSCAPE DESIGN,(559) 612-1635,,No website,34,5,1,"4725 E Tyler Ave, Fresno, CA 93702",No website listed on Google profile | Low review count
3,90,38,HS LAWN MAINTENANCE,(909) 519-6026,,No website,34,5,4,"3847 Madison St, Riverside, CA 92504",No website listed on Google profile | Low review count
4,82,56,"Landscape Connection, Inc.",(559) 323-8139,http://landscapeconnection.org/,Custom static,52,4.7,49,"8889 N Thompson Ave, Clovis, CA 93619",Website failed to load (403) | Website listed as non-HTTPS
5,80,60,AJP LANDSCAPE INC,(323) 420-7758,http://www.ajplandscape.com/,Wix,56,5,19,"4828 St Charles Pl, Los Angeles, CA 90019",Website failed to load (404) | Website listed as non-HTTPS
6,77,48,Barriga Landscaping,(916) 926-8639,,No website,46,4.8,13,"2805 Wah Ave, Sacramento, CA 95822",No website listed on Google profile
7,75,48,Signature Landscape,(949) 755-8636,https://www.signaturelandscape.com/,Custom static,46,4.8,52,"25862 Jamon Ln, Mission Viejo, CA 92691",Website failed to load (403)
8,75,48,Richard Diaz Landscape,(714) 673-2643,https://richarddiazlandscaping.com/,Unknown,46,4.9,33,"633 N Heatherstone Dr, Orange, CA 92869",Website failed to load (fetch failed)
9,72,84,Uribes Landscaping,(916) 807-5612,http://uribeslandscaping.net/,WordPress,86,4.8,21,"5033 Risley Ct, Sacramento, CA 95842",Slow first HTML response (3853ms) | Website listed as non-HTTPS | Missing meta description | No obvious logo asset found | Thin visible media set (3 candidate images)
10,70,48,Orozco Landscaping Services,(951) 623-9813,,No website,46,4.9,97,"175 Peppertree Dr, Perris, CA 92571",No website listed on Google profile
11,66,60,John's Lawn & Garden Landscaping,(619) 852-8458,https://www.johnslawngarden.com/,Wix,58,4.6,47,"4223 Genesee Ave, San Diego, CA 92117",Website failed to load (404)
12,60,62,Landscaping Pro’s of San Jose,(669) 369-3501,https://landscapingprossanjose.com/,Custom static,68,5,4,"186 Park Ave, San Jose, CA 95113",No obvious logo asset found | Thin visible media set (1 candidate images) | Low review count
13,51,90,Terra Bella Residential Design,(559) 241-0825,https://www.terrabellaco.com/,WordPress,96,5,2,"802 W Pinedale Ave #101, Fresno, CA 93711",Slow first HTML response (3727ms) | Low review count | No hours returned from Places
14,46,86,Golden Crest Landscaping Irvine,(657) 553-3169,http://goldencrestlandscapes.com/,Custom static,90,5,46,"14861 Franklin Ave, Tustin, CA 92780",Website listed as non-HTTPS | Missing page title | Missing meta description | Thin visible media set (2 candidate images)
15,41,98,Almaden Valley Landscape Inc.,(844) 256-2336,http://www.almadenvalleylandscape.com/,GoDaddy Website Builder,100,4.9,7,"1177 Branham Ln #326, San Jose, CA 95118",Website listed as non-HTTPS | Missing meta description | Low review count
16,35,94,The Landscape Company,(858) 275-6300,https://sandiegoswimmingpoolremoval.com/,Squarespace,100,3.7,9,"6755 Mira Mesa Blvd Ste 123-381, San Diego, CA 92121",Low review count | Rating below 4.2
17,35,84,Nish-Ko Landscape Concepts,(559) 275-6653,http://nish-koinclandscape.com/,Custom static,92,5,3,"713 N Valentine Ave, Fresno, CA 93706",Website listed as non-HTTPS | Low review count
18,34,98,Vicente Gardening Service,(951) 334-4573,https://vicentegardening.weebly.com/,Weebly,100,5,6,"2742 11th St, Riverside, CA 92507",Missing meta description | Low review count
19,34,88,Affordable Landscape & Design Inc.,(408) 429-0383,http://www.affordablelandscapeanddesigninc.com/,Squarespace,94,5,4,"88 Tully Rd Ste 106, San Jose, CA 95111",Website listed as non-HTTPS | Missing meta description | Low review count
20,33,108,OC West Landscape,(949) 939-6639,http://ocwest.com/,WordPress,100,5,34,"8583 Irvine Center Dr Ste 370, Irvine, CA 92618",Slow first HTML response (4056ms) | Website listed as non-HTTPS | Missing meta description
21,33,100,Aquagreen Pool & Landscape - Orange county,(858) 952-2207,http://www.aquagreenpool.com/,Wix,100,5,37,"930 Roosevelt Ste 109, Irvine, CA 92620",Website listed as non-HTTPS | Missing meta description | No hours returned from Places
22,32,86,GREENPLACE Inc,,https://greenplaceinc.com/,Custom static,96,5,87,"2151 Pacific Ave A205, Costa Mesa, CA 92627",Thin visible media set (3 candidate images)
23,32,84,New Image Landscaping,(559) 343-3175,https://newimagelandscapingfresno.com/,Custom static,92,5,38,"3959 N College Ave, Fresno, CA 93704",Missing meta description | Thin visible media set (1 candidate images)
24,32,82,Summer Sun Landscape,(669) 233-6026,https://summersunlandscape.com/?utm_source=omg-gbp&utm_medium=webclick,Custom static,92,5,22,"88 Pickford Ave, San Jose, CA 95127",Thin visible media set (0 candidate images)
25,31,96,Kate Anne Designs,(818) 918-5223,http://kateannedesigns.com/,Webflow,100,5,25,"12400 Ventura Blvd #848, Studio City, CA 91604",Website listed as non-HTTPS | Thin visible media set (3 candidate images)
26,31,96,Robyn's Original Landscapes,(949) 630-3312,http://www.robynsoriginal.com/,WordPress,100,5,19,"30025 Alicia Pkwy #231, Laguna Niguel, CA 92677",Website listed as non-HTTPS | Thin visible media set (3 candidate images)
27,31,88,Specialty Landscape Inc.,(559) 905-2273,https://www.specialtylandscapeinc.com/,Squarespace,94,4.7,56,"4669 E Hedges Ave A, Fresno, CA 93703",Missing meta description | Thin visible media set (3 candidate images) | Placeholder or parked-site language detected
28,28,98,San Diego Landscape Remodeling,(619) 613-2511,https://sandiegolandscaperemodeling.com/,Custom static,100,5,5,"9019 Park Plaza Dr Ste h, La Mesa, CA 91942",Low review count
29,28,98,AR Landscapes | Landscape Design Fresno,(559) 226-1761,https://arlandscapesfresno.com/,Custom static,100,5,4,"4974 N Fresno St, Fresno, CA 93726",Low review count
30,28,98,Green City Landscape Maintenance,(951) 268-4155,https://greencityca.com/,Custom static,100,5,6,"19925 Paso Robles Dr, Riverside, CA 92508",Low review count
31,27,98,Diaz Landscaping Services,(323) 683-8082,https://www.diaz-landscaping.com/,Wix,100,5,5,"1865 1/2 W 25th St, Los Angeles, CA 90018",Low review count
32,27,98,C&C Landscaping Inc,(408) 320-7594,http://candclandscapinginc.com/,WordPress,100,5,9,"181 E Santa Clara St #715, San Jose, CA 95113",Website listed as non-HTTPS | Low review count
33,27,98,Paramount Landscaping,(408) 385-5609,http://www.paramountlandscaping.com/,WordPress,100,5,8,"2245 Dobern Ave, San Jose, CA 95116",Website listed as non-HTTPS | Low review count
34,26,108,Artscape Gardens,(323) 510-8305,http://artscapegardens.com/,WordPress,100,5,43,"4654 Carnegie St, Los Angeles, CA 90032",Slow first HTML response (3874ms) | Website listed as non-HTTPS
35,25,94,Modern Yardz Landscaping San Diego,(619) 775-9554,https://www.modernyardz.com/,Custom static,100,5,104,"8133 Engineer Rd, San Diego, CA 92111",Thin visible media set (2 candidate images)
36,25,94,Home Energy Construction,(559) 272-9778,https://homeenergyconstruction.com/,Custom static,100,4.8,251,"7194 N Abby St, Fresno, CA 93720",Thin visible media set (2 candidate images)
37,24,94,Palmers Landscape Installation Inc,(949) 697-2451,http://www.palmerslandscape.com/,WordPress,100,5,32,"25221 Derby Cir, Laguna Hills, CA 92653",Website listed as non-HTTPS | Thin visible media set (2 candidate images)
38,24,94,Design A Dream Landscaping,(559) 940-5000,http://www.designadreamlandscape.com/,WordPress,100,5,38,"4730 N Arthur Ave, Fresno, CA 93705",Website listed as non-HTTPS | Thin visible media set (2 candidate images)
39,21,108,Sun Diego Landscape & Design,(619) 779-4884,http://www.sundiegolandscapeanddesign.com/,WordPress,100,5,23,"2358 University Ave, San Diego, CA 92104",Website listed as non-HTTPS | Missing meta description
